"gene","Gn","Gc","Gmax","Gsum","N_term_thread","C_term_thread","ENT.ID","num_zipper_nc","num_loop_contacting_res","num_cross_nearest_neighbors","min_N_prot_depth_left","min_C_prot_depth_right","Travatos_G","Length","Entanglement","Cov_Entanglement","Total_Mutations_n","mean_SASA","disease","Essential","p1","p0","Delta_2RF"
"A6NC86",0.93786,0.34983,0.93786,1.08775,1,0,4,16,49,21,0.622549019607843,0,1.246,204,"Yes","No",0,61.4815885804706,"No","No",0.087,0.111,-0.024
"A6NCE7",0.1413,0.61795,0.61795,0.75925,0,1,1,2,34,22,0,0.096,0.958,125,"Yes","No",0,64.93051854168,"No","No",0.061,0.271,-0.21
"A6NCF5",0.69205,0.70814,0.70814,0.83952,1,1,2,30,40,20,0.49718574108818,0.048780487804878,1.417,533,"Yes","No",6,51.1175626932233,"No","No",0.153,0.232,-0.079
"A6NCI4",0.8902,0.73253,0.8902,1.10608,1,1,4,9,55,33,0.813344594594595,0.605574324324324,1.033,1184,"Yes","No",14,69.0787652774848,"No","No",0.252,0.669,-0.417
"A6NCK2",0.64728,0.84437,0.84437,0.90367,1,1,4,5,51,28,0.789237668161435,0.0941704035874439,0.971,446,"Yes","No",1,70.2966029461883,"No","NT",0.028,0.029,-0.001
"A6NCM1",0.63353,0.64587,0.64587,0.72234,1,1,3,52,66,25,0.690709046454768,0.475550122249389,1.108,818,"Yes","No",7,68.4340227046333,"No","No",0.184,0.432,-0.248
"A6ND01",0.72062,0.05544,0.72062,0.77606,1,0,1,1,41,16,0.528,0,0.966,250,"Yes","No",2,64.05017617964,"No","No",0.117,0.269,-0.152
"A6ND91",0.82743,0.64438,0.82743,0.86921,1,1,3,19,42,23,0.53356890459364,0.247349823321555,1.087,283,"Yes","No",2,48.6852116802332,"No","No",0.11,0.616,-0.506
"A6NDG6",0.93366,0.93989,0.93989,1.18228,1,1,3,20,38,25,0.376947040498442,0.043613707165109,1.473,321,"Yes","No",2,47.9295560661745,"Yes","No",0.756,0.711,0.045
"A6NDI0",0.6199,0.80304,0.80304,0.87379,1,1,3,7,57,28,0.787610619469027,0.0929203539823008,0.915,452,"Yes","No",8,56.4498895241947,"No","No",0.206,0.285,-0.079
"A6NDV4",1.01672,1.04642,1.04642,1.3882,1,1,3,9,59,26,0.222457627118644,0.673728813559322,1.153,472,"Yes","No",1,67.983687642661,"No","No",0.138,0.336,-0.198
"A6NE02",0.71207,1.75499,1.75499,1.99449,1,2,2,15,52,38,0.870292887029289,0.0313807531380753,2.192,478,"Yes","No",3,59.4712358530962,"No","No",0.12,0.17,-0.05
"A6NED2",0.74979,0.02419,0.74979,0.77398,1,0,1,18,33,23,0.026595744680851,0,0.886,376,"Yes","No",0,53.7680373840319,"Yes","No",0.713,0.192,0.521
"A6NEE1",0.85075,0.61763,0.85075,1.46838,1,1,2,6,32,26,0.0711462450592885,0.772727272727273,0.879,506,"Yes","No",2,88.7275669471146,"No","No",0.105,0.005,0.1
"A6NEK1",0.86709,0.86431,0.86709,1.7314,1,1,4,24,66,35,0.669590643274854,0.149122807017544,1.199,342,"Yes","No",0,65.3112807006023,"No","No",0.075,0.067,0.00799999999999999
"A6NEN9",0.67146,0.03024,0.67146,0.7017,1,0,1,12,36,24,0.224043715846995,0,0.996,183,"Yes","No",0,89.7661601183169,"No","No",0.139,0.133,0.00600000000000001
"A6NFN9",0.79296,0.32502,0.79296,1.11798,1,0,2,2,69,26,0.252988047808765,0,0.886,502,"Yes","No",3,74.9027191967729,"No","No",0.136,0.404,-0.268
"A6NFQ2",1.28149,1.56347,1.56347,1.73465,2,3,12,40,103,45,0.622415669205658,0.946681175190424,1.914,919,"Yes","No",2,42.7916844391752,"No","No",0.121,0.479,-0.358
"A6NFU8",0.64119,1.19912,1.19912,1.2935,1,1,2,52,57,26,0.331632653061224,0.346938775510204,1.337,196,"Yes","No",6,65.7654430861224,"No","No",0.222,0.843,-0.621
"A6NFX1",1.13636,0.79885,1.13636,1.6092,1,1,5,65,93,38,0.579365079365079,0.700396825396825,1.557,504,"Yes","No",3,54.7623328316984,"No","No",0.123,0.038,0.085
"A6NFY4",0.84634,0.93588,0.93588,1.20532,1,1,2,6,48,18,0.191846522781774,0.688249400479616,1.209,417,"Yes","No",3,82.8658689477938,"No","No",0.155,0.079,0.076
"A6NG13",0.71138,1.03863,1.03863,1.14076,1,1,3,35,73,25,0.764705882352941,0.462566844919786,1.501,374,"Yes","No",2,68.8921170333155,"No","No",0.113,0.662,-0.549
"A6NGE4",1.08027,0.79616,1.08027,1.08351,1,1,2,41,49,20,0.31,0.188333333333333,1.624,600,"Yes","No",6,71.84488333025,"No","No",0.131,0.38,-0.249
"A6NGJ6",0.64374,0.7215,0.7215,0.85372,1,1,4,3,51,28,0.790645879732739,0.0935412026726058,0.916,449,"Yes","No",2,68.9933941403474,"No","NT",0.052,0.387,-0.335
"A6NGN9",0.04095,0.62715,0.62715,0.6681,0,1,1,1,20,21,0,0.62797619047619,0.734,336,"Yes","No",0,72.7137983682024,"No","No",0.096,0.209,-0.113
"A6NGQ2",0.19644,0.81026,0.81026,1.0067,0,1,1,10,30,22,0,0.36241610738255,0.945,149,"Yes","No",3,85.5629538120134,"No","No",0.135,0.266,-0.131
"A6NH21",0.63311,0.70337,0.70337,1.25889,1,1,2,20,78,33,0.237451737451737,0.16023166023166,1.126,518,"Yes","No",0,69.624526227278,"No","No",0.057,0.218,-0.161
"A6NH57",0.64169,0.05038,0.64169,0.69207,1,0,1,32,30,24,0.100558659217877,0,1.184,179,"Yes","No",7,59.5310036136871,"No","No",0.275,0.858,-0.583
"A6NHC0",1.91944,1.35758,1.91944,1.94785,2,2,7,66,80,51,0.586059743954481,0.743954480796586,2.213,703,"Yes","No",6,49.0256351848108,"No","No",0.229,0.245,-0.016
"A6NHL2",0.01319,0.6183,0.6183,0.63149,0,1,1,57,63,27,0,0.132286995515695,1.401,446,"Yes","No",7,43.6412777133991,"No","No",0.226,0.24,-0.014
"A6NHR9",0.86637,1.50239,1.50239,1.5032,1,2,15,45,122,43,0.868329177057357,0.880798004987531,2.182,2005,"Yes","No",32,59.2254106816569,"Yes","No",0.946,0.886,0.0599999999999999
"A6NHX0",1.27374,0.94753,1.27374,2.106,2,3,8,71,99,81,0.56838905775076,0.832826747720365,1.9,329,"Yes","No",0,49.5873483745167,"No","No",0.09,0.032,0.058
"A6NHY2",0.06094,0.66912,0.66912,0.73006,0,1,1,23,41,22,0,0.0928030303030303,0.9,528,"Yes","No",12,59.9576822662045,"No","No",0.238,0.723,-0.485
"A6NI03",0.6711,0.75777,0.75777,0.86779,1,1,4,4,47,28,0.790645879732739,0.0935412026726058,0.925,449,"Yes","No",3,70.0179576142539,"No","NT",0.034,0.436,-0.402
"A6NI28",0.70939,0.70551,0.70939,1.38172,1,1,4,9,44,28,0.939359267734554,0.594965675057208,0.87,874,"Yes","No",3,81.7178582108009,"No","NT",0.188,0.357,-0.169
"A6NI73",0.06884,0.62609,0.62609,0.69493,0,1,1,1,22,20,0,0.244147157190635,1.12,299,"Yes","No",2,75.4977215486622,"No","No",0.127,0.196,-0.069
"A6NIM6",1.25056,1.46789,1.46789,2.49397,1,3,5,142,108,72,0.582037996545769,0.721934369602763,1.88,579,"Yes","No",6,60.3363919354404,"No","NT",0.21,0.161,0.049
"A6NJ78",0.74246,0.12003,0.74246,0.86249,1,0,1,4,40,25,0.226044226044226,0,1.038,407,"Yes","No",2,64.8689819859705,"No","No",0.089,0.29,-0.201
"A6NK06",1.24421,0.63057,1.24421,1.28161,3,1,4,25,134,39,0.299376299376299,0.844074844074844,1.656,481,"Yes","No",3,42.0565470811268,"Yes","No",0.791,0.201,0.59
"A6NK44",0.7103,0.01385,0.7103,0.72415,1,0,1,26,26,20,0.26875,0,1.07,160,"Yes","No",3,81.4042198640625,"No","No",0.184,0.209,-0.025
"A6NK58",0.64026,0.7974,0.7974,1.14099,1,1,2,8,61,23,0.242424242424242,0.268398268398268,0.955,231,"Yes","No",8,49.9125538141385,"Yes","No",0.919,0.55,0.369
"A6NLI5",0.62864,0.72619,0.72619,0.88188,1,1,4,4,49,28,0.791111111111111,0.0933333333333333,0.919,450,"Yes","No",5,69.4076007622444,"No","No",0.123,0.679,-0.556
"A6NLU0",0.77028,0.92946,0.92946,1.09738,1,1,2,20,57,31,0.54006968641115,0.128919860627178,1.321,287,"Yes","No",2,61.4865875844808,"No","NT",0.049,0.348,-0.299
"A6NLW8",0.01529,0.60174,0.60174,0.61703,0,1,1,8,19,21,0,0.28921568627451,0.859,204,"Yes","No",1,102.842279215588,"No","No",0.083,0.151,-0.068
"A6NM10",0.35711,0.71452,0.71452,1.07163,0,1,1,27,57,22,0,0.322033898305085,0.884,295,"Yes","No",8,64.2982101944475,"No","No",0.298,0.489,-0.191
"A6NM28",0.61136,0.14473,0.61136,0.75609,1,0,1,20,24,12,0.0528846153846153,0,0.81,416,"Yes","No",0,89.1120786802163,"No","No",0.083,0.099,-0.016
"A6NMK7",0.30253,0.71514,0.71514,1.01767,0,1,1,3,18,15,0,0.53072625698324,0.962,179,"Yes","No",0,89.3189417052514,"No","No",0.161,0.123,0.038
"A6NMX2",0.72438,0.81977,0.81977,0.86911,1,1,3,36,44,24,0.56198347107438,0.210743801652892,1.237,242,"Yes","No",2,74.0965359292149,"No","No",0.114,0.324,-0.21
"A6NMZ7",0.81228,1.83886,1.83886,1.9597,3,1,18,29,137,47,0.89041095890411,0.734423331860362,2.062,2263,"Yes","No",36,59.3884938674918,"No","No",0.296,0.909,-0.613
"A6NNL5",0.09123,0.67466,0.67466,0.76589,0,1,1,13,34,18,0,0.0700636942675159,0.903,157,"Yes","No",0,66.6810868103822,"No","No",0.103,0.348,-0.245
"A6NNN8",1.64431,0.82633,1.64431,1.69586,2,3,5,184,115,64,0.119540229885057,0.298850574712644,2.414,435,"Yes","No",27,51.3572558949287,"Yes","No",0.958,0.901,0.0569999999999999
"A6NNS2",0.76035,0.14848,0.76035,0.90883,1,0,2,19,47,27,0.573717948717949,0,1.19,312,"Yes","No",2,60.0123065030769,"No","No",0.07,0.105,-0.035
"A6NNW6",1.22305,1.11154,1.22305,1.25171,1,3,4,59,106,48,0.4544,0.1312,1.482,625,"Yes","No",3,62.1072355469792,"Yes","No",0.788,0.338,0.45
"A6NNY8",0.74093,0.94492,0.94492,1.15695,1,1,4,54,55,28,0.844748858447489,0.324200913242009,1.337,438,"Yes","No",4,66.8753519401507,"Yes","No",0.756,0.83,-0.074
"A6PVI3",1.4502,0.66144,1.4502,1.53783,2,1,2,36,42,32,0.26797385620915,0.261437908496732,1.767,153,"Yes","No",0,64.6024344031373,"No","No",0.055,0.147,-0.092
"A6QL63",1.04695,0.65645,1.04695,1.32754,1,1,2,44,96,21,0.158514492753623,0.78713768115942,1.337,1104,"Yes","No",5,65.2421865707717,"No","No",0.167,0.589,-0.422
"A6XGL0",0.68401,0.22733,0.68401,0.91134,1,0,1,16,45,19,0.404682274247492,0,1.175,299,"Yes","No",1,63.0427245549498,"No","No",0.066,0.137,-0.071
"A7E2Y1",0.9544,0.80074,0.9544,1.18105,1,1,10,30,116,28,0.262228946041351,0.902168431669188,1.274,1983,"Yes","No",0,81.3486583427927,"Yes","NT",0.784,0.086,0.698
"A8K2U0",1.38271,1.53125,1.53125,2.24203,3,3,13,32,126,59,0.6292984869326,0.581843191196699,2.009,1454,"Yes","Yes",52,51.314891245912,"Yes","No",0.978,0.951,0.027
"A8K4G0",0.6954,0.01487,0.6954,0.71027,1,0,1,2,29,23,0.248756218905473,0,1,201,"Yes","No",2,86.5884354493532,"No","No",0.129,0.244,-0.115
"A8K7I4",1.68258,1.00755,1.68258,2.31422,6,1,15,135,134,99,0.865426695842451,0.672866520787746,2.084,914,"Yes","No",12,47.2674521640985,"Yes","No",0.882,0.556,0.326
"A8K855",2.05479,1.65822,2.05479,2.1112,2,2,8,48,109,52,0.915739268680445,0.419713831478537,2.285,629,"Yes","No",6,63.837863010194,"Yes","No",0.788,0.186,0.602
"A8MPS7",0.90547,0.72884,0.90547,0.98507,1,1,3,40,50,30,0.501547987616099,0.253869969040248,1.754,323,"Yes","No",1,48.795572204322,"No","No",0.121,0.155,-0.034
"A8MPX8",0.82867,0.33794,0.82867,0.96612,9,0,6,46,83,72,0.576190476190476,0,1.239,630,"Yes","No",2,75.7996323292159,"No","No",0.169,0.207,-0.038
"A8MPY1",0.65865,0.80799,0.80799,0.91067,1,1,3,4,66,24,0.184154175588865,0.612419700214133,0.943,467,"Yes","No",4,77.8537059891006,"No","No",0.285,0.639,-0.354
"A8MQ27",0.95863,1.29868,1.29868,2.25731,1,1,5,34,98,57,0.612612612612613,0.664864864864865,1.443,555,"Yes","No",1,68.0193994226234,"No","No",0.141,0.191,-0.05
"A8MTJ3",0.6297,0.74506,0.74506,0.77596,1,1,2,20,45,23,0.104519774011299,0.5,1.243,354,"Yes","No",1,54.2434914935198,"No","No",0.188,0.2,-0.012
"A8MUM7",0,0.73363,0.73363,0.73363,0,1,1,2,47,25,0,0.140845070422535,1.05,142,"Yes","No",0,55.1690189726901,"No","No",0.148,0.186,-0.038
"A8MUP2",0.64218,0.70484,0.70484,0.81853,1,1,2,3,47,27,0.329166666666667,0.0291666666666666,1.099,240,"Yes","No",1,58.00551160375,"No","No",0.081,0.193,-0.112
"A8MV23",0.862,0.21448,0.862,1.0166,5,0,5,26,96,37,0.474056603773585,0,2.091,424,"Yes","No",5,55.9670242690094,"No","No",0.15,0.227,-0.077
"A8MWY0",1.05734,0.92134,1.05734,1.83667,1,1,8,24,89,34,0.50242954324587,0.732750242954325,1.583,1029,"Yes","No",3,67.8688078056812,"No","No",0.158,0.42,-0.262
"A8MX76",1.92018,1.10375,1.92018,2.00221,3,1,9,58,98,46,0.587719298245614,0.741228070175439,2.106,684,"Yes","No",10,53.8532526551491,"Yes","No",0.861,0.657,0.204
"A8MXD5",0.79946,0.26071,0.79946,1.06017,1,0,1,37,38,27,0.482758620689655,0,1.121,290,"Yes","No",8,88.1967741686207,"Yes","No",0.899,0.407,0.492
"A8MXT2",0.12769,0.64226,0.64226,0.76995,0,1,1,1,29,21,0,0.193452380952381,0.645,336,"Yes","No",0,85.2520261630655,"No","No",0.057,0.081,-0.024
"A8MXV4",1.00318,1.07904,1.07904,1.65401,3,1,5,22,96,56,0.122666666666667,0.496,1.973,375,"Yes","No",5,50.22436478504,"Yes","No",0.826,0.109,0.717
"A8MYU2",2.26804,2.1356,2.26804,3.18607,3,2,11,37,137,70,0.871192341166231,0.661444734551784,2.49,1149,"Yes","No",12,67.4568371306057,"Yes","No",0.881,0.55,0.331
"A8MYV0",0.71846,0.60899,0.71846,0.7581,1,1,3,4,29,27,0.381868131868132,0.442307692307692,1.024,364,"Yes","No",2,99.6983807670055,"No","No",0.127,0.19,-0.063
