"gene","Delta_2RF","euclidean_dist","Gn","Gc","Gmax","Gsum","N_term_thread","C_term_thread","ENT.ID","num_zipper_nc","num_loop_contacting_res","num_cross_nearest_neighbors","min_N_prot_depth_left","min_C_prot_depth_right","Travatos_G","Length","Entanglement","Cov_Entanglement","Total_Mutations_n","mean_SASA","disease","Essential","gene_ctrl","Gn_ctrl","Gc_ctrl","Gmax_ctrl","Gsum_ctrl","N_term_thread_ctrl","C_term_thread_ctrl","ENT.ID_ctrl","num_zipper_nc_ctrl","num_loop_contacting_res_ctrl","num_cross_nearest_neighbors_ctrl","min_N_prot_depth_left_ctrl","min_C_prot_depth_right_ctrl","Travatos_G_ctrl","Length_ctrl","Entanglement_ctrl","Cov_Entanglement_ctrl","Total_Mutations_n_ctrl","mean_SASA_ctrl","disease_ctrl","Essential_ctrl"
"P00338",0.763,0.0642460067840417,0.90276,0.0846,0.90276,0.96062,3,0,3,22,58,38,0.5,0,1.153,332,"Yes","No",2,51.7135523076807,"Yes","No","Q9NXK8",0,0,0,0,0,0,0,0,0,0,0,0,0,326,"No","No",1,52.4336364929816,"No","No"
"O00305",0.761,0.0378039114785869,1.05648,1.04657,1.05648,1.07969,1,3,6,34,70,40,0.501923076923077,0.713461538461538,1.242,520,"Yes","No",2,91.0873447053654,"Yes","No","Q9HCL3",0,0,0,0,0,0,0,0,0,0,0,0,0,533,"No","No",2,91.2567969855722,"No","No"
"Q8TBG4",0.761,0.0700126539598688,0.67174,1.22831,1.22831,1.32444,1,3,5,64,116,49,0.2665331,0.3767535,1.96,499,"Yes","No",2,57.0077826078677,"Yes","No","Q9NVX7",0,0,0,0,0,0,0,0,0,0,0,0,0,518,"No","No",1,57.1287141580039,"No","No"
"Q04206",0.761,0.0454425465207121,0.67893,0.79574,0.79574,0.83419,1,1,2,7,63,22,0.1597096,0.7876588,1.064,551,"Yes","No",6,91.8252198979964,"Yes","No","Q9BWE0",0,0,0,0,0,0,0,0,0,0,0,0,0,567,"No","No",6,91.9486079263316,"No","No"
"P04278",0.76,0.156974207745372,0.80891,1.04893,1.04893,1.09481,3,1,5,9,73,43,0.666666666666667,0.519900497512438,1.504,402,"Yes","Yes",7,55.7778696547811,"Yes","No","Q8N4F0",0,0,0,0,0,0,0,0,0,0,0,0,0,458,"No","No",7,55.7495059667249,"No","No"
"Q06830",0.759,0.0582746301937016,0.74586,0.95787,0.95787,1.70373,1,1,2,24,52,31,0.2160804,0.4773869,1.299,199,"Yes","No",0,52.6923311149246,"Yes","No","Q03013",0,0,0,0,0,0,0,0,0,0,0,0,0,218,"No","No",0,52.2941754411468,"No","No"
"Q9NP50",0.759,0.11171808322538,0.13404,0.69326,0.69326,0.8273,0,1,1,4,26,17,0,0.7692308,0.884,221,"Yes","No",0,105.610059967557,"Yes","Yes","Q96NC0",0,0,0,0,0,0,0,0,0,0,0,0,0,199,"No","No",0,107.177835459799,"No","Yes"
"P62993",0.757,0.0456145838625775,0.64625,0.71774,0.71774,0.80347,1,1,3,2,23,15,0.7419355,0.7834101,0.798,217,"Yes","No",0,63.8976633208756,"Yes","No","Q9UBQ5",0,0,0,0,0,0,0,0,0,0,0,0,0,218,"No","No",0,63.1314548133303,"No","No"
"Q92820",0.757,0.145839013329599,0.80873,0.85803,0.85803,1.1576,1,1,3,35,61,33,0.1132075,0.2798742,1.212,318,"Yes","No",4,53.0321124242956,"Yes","No","P27216",0,0,0,0,0,0,0,0,0,0,0,0,0,316,"No","No",3,50.6987468503797,"No","No"
"Q96D21",0.756,0.0933868063514778,0.89711,0.82372,0.89711,0.96738,3,1,3,51,66,37,0.08646617,0.7406015,1.399,266,"Yes","No",0,65.7173048010752,"Yes","No","Q9BZ81",0,0,0,0,0,0,0,0,0,0,0,0,0,275,"No","No",0,67.2305076474545,"No","No"
"O00482",0.755,0.0659816810680892,0.08305,0.68506,0.68506,0.76811,0,1,1,5,30,18,0,0.743068391866913,0.913,541,"Yes","No",3,84.1232854403623,"Yes","No","Q96I34",0,0,0,0,0,0,0,0,0,0,0,0,0,528,"No","No",4,84.6586298881061,"No","No"
"Q9Y5B8",0.755,0.0583868660593842,1.68941,1.39251,1.68941,2.89528,2,1,6,71,82,69,0.6462766,0.5771277,1.913,376,"Yes","No",0,49.5486211611968,"Yes","No","Q3SXM0",0,0,0,0,0,0,0,0,0,0,0,0,0,396,"No","No",0,49.2739297396162,"No","No"
"P23219",0.754,0.179867438127379,0.92155,1.17771,1.17771,1.66916,1,3,5,163,125,51,0.651085141903172,0.163606010016695,1.588,599,"Yes","No",6,49.4973462399165,"Yes","No","Q5TAA0",0,0,0,0,0,0,0,0,0,0,0,0,0,569,"No","No",6,52.1732192184815,"No","No"
"P49763",0.754,0.0413704270091514,0.62255,1.00691,1.00691,1.03596,1,1,2,20,24,23,0.2669683,0.438914,1.23,221,"Yes","No",1,105.869572443575,"Yes","No","Q15544",0,0,0,0,0,0,0,0,0,0,0,0,0,211,"No","No",1,105.357493001611,"No","No"
"P34947",0.753,0.0719464529788043,0.92305,1.38634,1.38634,2.28213,1,1,3,38,99,26,0.3728814,0.5559322,1.486,590,"Yes","No",7,57.7424587325017,"Yes","No","Q5TGP6",0,0,0,0,0,0,0,0,0,0,0,0,0,573,"No","No",8,57.2398792471902,"No","No"
"P45983",0.752,0.0255042978446876,1.01108,0.82942,1.01108,1.29892,1,1,3,16,55,31,0.5644028,0.7494145,1.127,427,"Yes","No",0,59.3485272205386,"Yes","No","Q7L1Q6",0,0,0,0,0,0,0,0,0,0,0,0,0,419,"No","No",0,59.553022768401,"No","No"
"Q16775",0.752,0.138308303634568,0.67363,0.15489,0.67363,0.82852,1,0,2,3,47,26,0.737013,0,0.89,308,"Yes","No",3,52.6020407041948,"Yes","No","Q9H672",0,0,0,0,0,0,0,0,0,0,0,0,0,318,"No","No",0,52.8506119662453,"No","No"
"P58004",0.751,0.0639765246059409,0.62679,0.65703,0.65703,0.79146,1,3,2,21,80,52,0.2416667,0.02916667,1.405,480,"Yes","No",6,57.075774519575,"Yes","No","Q96ER3",0,0,0,0,0,0,0,0,0,0,0,0,0,474,"No","No",5,57.7890310046835,"No","No"
"Q00534",0.749,0.0574035432363153,0.67026,0.71343,0.71343,0.80677,1,1,2,5,42,26,0.7239264,0.702454,0.898,326,"Yes","No",2,57.6332731508466,"Yes","No","Q9NWY4",0,0,0,0,0,0,0,0,0,0,0,0,0,346,"No","No",2,57.8411378160983,"No","No"
"Q9UPU7",0.747,0.337653345973002,0.752,0.81555,0.81555,1.36404,1,7,5,11,69,54,0.04361371,0.8764278,1.029,963,"Yes","No",8,85.318867129269,"Yes","No","Q96IR2",0,0,0,0,0,0,0,0,0,0,0,0,0,970,"No","No",2,88.7316508261134,"No","No"
"Q9HAB8",0.746,0.0474648680572878,0.87714,0.2466,0.87714,1.05476,3,0,2,33,64,41,0.1318328,0,1.189,311,"Yes","No",2,55.3125673172026,"Yes","No","Q9NTX5",0,0,0,0,0,0,0,0,0,0,0,0,0,307,"No","No",1,55.133449497772,"No","No"
"P04818",0.745,0.0769294427676323,0.66155,0.01859,0.66155,0.68014,1,0,1,20,76,24,0.223642172523962,0,1.164,313,"Yes","No",2,55.1435380385176,"Yes","No","Q96DX5",0,0,0,0,0,0,0,0,0,0,0,0,0,294,"No","No",2,56.0778166044558,"No","No"
"Q08431",0.745,0.131736008344696,0.9071,0.96393,0.96393,1.14792,1,1,4,20,57,25,0.7751938,0.4780362,1.184,387,"Yes","No",7,56.1430061986202,"Yes","No","Q8WUA8",0,0,0,0,0,0,0,0,0,0,0,0,0,353,"No","No",5,56.3906369177564,"No","No"
"O60496",0.743,0.0557842941597155,0.66005,0.68527,0.68527,1.34532,1,1,2,5,31,26,0.029126213592233,0.769417475728155,0.908,412,"Yes","No",6,97.8840877284466,"Yes","No","Q8N4Y2",0,0,0,0,0,0,0,0,0,0,0,0,0,399,"No","No",6,97.1732367454135,"No","No"
"P0DMV8",0.743,0.479679320228359,0.76831,0.20955,0.76831,0.91336,1,0,4,16,108,25,0.627145085803432,0,1.151,641,"Yes","No",0,49.5372198463588,"Yes","NT","A0A140T8X8",0,0,0,0,0,0,0,0,0,0,0,0,0,626,"No","No",0,57.5787931271406,"No","NT"
"P24385",0.742,0.0425390347708567,0.80202,0.92701,0.92701,0.92983,3,1,2,4,57,43,0.206779661016949,0.474576271186441,1,295,"Yes","No",0,61.7467926387458,"Yes","No","A6NDU8",0,0,0,0,0,0,0,0,0,0,0,0,0,294,"No","No",0,62.4611368607007,"No","No"
"Q9Y625",0.742,0.166179958363129,0.72526,0.03806,0.72526,0.76332,1,0,1,13,97,19,0.5081081,0,0.875,555,"Yes","No",6,68.1802543419928,"Yes","No","Q1MX18",0,0,0,0,0,0,0,0,0,0,0,0,0,579,"No","No",6,65.6229603685009,"No","No"
"P48637",0.74,0.436015357651456,0.83931,1.1226,1.1226,1.94014,1,3,6,40,150,69,0.7658228,0.4451477,1.604,474,"Yes","No",9,42.7739996245823,"Yes","No","Q15048",0,0,0,0,0,0,0,0,0,0,0,0,0,493,"No","No",3,48.4754075074848,"No","No"
"Q9NYB0",0.739,0.119006548289105,0.70532,0.13552,0.70532,0.84084,1,0,1,12,18,22,0.07769424,0,0.959,399,"Yes","No",8,87.9780577904561,"Yes","No","Q7Z6M4",0,0,0,0,0,0,0,0,0,0,0,0,0,381,"No","No",8,86.1641610395801,"No","No"
"P29375",0.739,0.94411040486106,0.95904,1.7196,1.7196,2.67864,1,3,7,73,110,66,0.296449704142012,0.759763313609467,2.292,1690,"Yes","No",15,77.6467429750331,"Yes","No","P46939",0,0,0,0,0,0,0,0,0,0,0,0,0,1400,"No","No",12,69.8891098428343,"No","No"
"P48506",0.739,0.143644744191053,0.86512,0.73979,0.86512,1.09165,1,3,5,99,137,53,0.4238619,0.6310832,1.417,637,"Yes","No",1,42.6639154262449,"Yes","No","P52306",0,0,0,0,0,0,0,0,0,0,0,0,0,607,"No","No",1,44.623850392827,"No","No"
"P49411",0.737,0.0597054710149153,0.85711,0.98967,0.98967,1.12643,1,1,5,41,63,31,0.778022,0.7318681,1.276,452,"Yes","No",5,55.9921710641991,"Yes","No","Q96NS5",0,0,0,0,0,0,0,0,0,0,0,0,0,453,"No","No",6,56.653232040883,"No","No"
"P49448",0.737,0.116545160151889,0.76706,0.7543,0.76706,0.89867,1,1,3,45,97,24,0.5448029,0.672043,1.296,558,"Yes","No",6,54.882669020172,"Yes","No","Q6UY01",0,0,0,0,0,0,0,0,0,0,0,0,0,552,"No","No",4,56.1013921639275,"No","No"
"P06746",0.736,0.0112815573263083,0.03296,0.64776,0.64776,0.68072,0,1,2,4,36,30,0,0.438805970149254,0.937,335,"Yes","No",1,56.5407475724955,"Yes","No","Q9H9S4",0,0,0,0,0,0,0,0,0,0,0,0,0,337,"No","No",1,56.705508788178,"No","No"
"Q02928",0.736,0.132526708401091,0.16967,0.82312,0.82312,0.90397,0,3,4,22,115,53,0,0.3911368,1.056,519,"Yes","No",3,50.7022816936146,"Yes","No","Q13325",0,0,0,0,0,0,0,0,0,0,0,0,0,482,"No","No",2,49.5370684987469,"No","No"
"Q9HB21",0.736,0.0682666080919613,0.66765,0.75106,0.75106,1.41871,1,1,4,5,36,27,0.4925743,0.7722772,0.993,404,"Yes","No",3,94.9335284190248,"Yes","No","Q8N8V4",0,0,0,0,0,0,0,0,0,0,0,0,0,417,"No","No",2,95.5446518336451,"No","No"
"Q9UBD9",0.735,0.0479694407934622,0.85425,0.99494,0.99494,1.08769,1,1,2,32,58,20,0.4844444,0.1777778,1.374,225,"Yes","No",4,69.7893928306667,"Yes","No","Q6PF18",0,0,0,0,0,0,0,0,0,0,0,0,0,240,"No","No",4,70.178053468125,"No","No"
"P35030",0.734,0.056068189252279,0.81058,0.88697,0.88697,1.44024,1,1,7,9,92,35,0.6644737,0.4473684,1.908,304,"Yes","No",0,66.5282830194145,"Yes","No","O43255",0,0,0,0,0,0,0,0,0,0,0,0,0,324,"No","No",0,66.5111868309259,"No","No"
"P45984",0.734,0.016345431030042,0.98665,0.82061,0.98665,1.26144,1,1,3,18,55,29,0.5683962,0.7476415,1.128,424,"Yes","No",1,61.2876412764387,"Yes","No","O14498",0,0,0,0,0,0,0,0,0,0,0,0,0,428,"No","No",1,61.4878094141963,"No","No"
"Q9NRW7",0.733,0.151431375255604,0.80669,1.16787,1.16787,1.66029,1,3,5,31,118,52,0.3859649,0.4210526,1.482,570,"Yes","No",5,50.8010953737719,"Yes","No","Q8WXK1",0,0,0,0,0,0,0,0,0,0,0,0,0,588,"No","No",5,53.203964877051,"No","No"
"P24928",0.73,1.86687468587822,1.52375,1.12758,1.52375,2.49403,2,3,14,58,168,63,0.579187817258883,0.872081218274112,2.137,1970,"Yes","No",0,65.8215299022244,"Yes","NT","Q6ZUA9",0,0,0,0,0,0,0,0,0,0,0,0,0,1318,"No","No",0,59.4047284658437,"No","NT"
"Q12841",0.73,0.0145746904146961,0.63284,0.038,0.63284,0.67084,1,0,1,2,17,15,0.211039,0,0.9,308,"Yes","No",0,76.5894584024351,"Yes","No","O43765",0,0,0,0,0,0,0,0,0,0,0,0,0,313,"No","No",0,76.5221235620128,"No","No"
"O00170",0.726,0.105739241199205,0.76102,0.65327,0.76102,1.11706,1,1,2,9,51,28,0.109090909090909,0.548484848484848,1.052,330,"Yes","No",5,62.0055942524242,"Yes","No","Q13011",0,0,0,0,0,0,0,0,0,0,0,0,0,328,"No","No",3,62.9416452599939,"No","No"
"P16619",0.726,0.0474920485527371,0.05731,0.62596,0.62596,0.68327,0,1,1,5,21,14,0,0.204301075268817,0.909,93,"Yes","No",2,81.891659351828,"Yes","No","Q6YFQ2",0,0,0,0,0,0,0,0,0,0,0,0,0,88,"No","No",1,82.0047425348864,"No","No"
"P11172",0.724,0.0511309050156586,0.98028,0.73519,0.98028,1.3025,1,1,4,12,50,28,0.872916666666667,0.139583333333333,1.32,480,"Yes","No",7,50.4450854243292,"Yes","No","Q5T764",0,0,0,0,0,0,0,0,0,0,0,0,0,474,"No","No",6,50.1451638817215,"No","No"
"P03973",0.723,0.0168351889238226,0.68488,0.66772,0.68488,0.82903,1,1,2,2,33,15,0.242424242424242,0.46969696969697,0.84,132,"Yes","No",0,86.5856671641667,"Yes","No","Q7Z5A9",0,0,0,0,0,0,0,0,0,0,0,0,0,133,"No","No",0,86.8650362766917,"No","No"
